Coin,Sentiment,total_pnl,trades,win_rate
@1,Fear,66.390428,8,0.375
@1,Greed,430.35580999999996,25,0.4
@10,Fear,0.0,1,0.0
@10,Greed,-0.063484,2,0.0
@10,Neutral,0.0,1,0.0
@100,Greed,27.627142,4,0.5
@103,Fear,0.0,1,0.0
@103,Greed,38.558036,6,0.6666666666666666
@107,Extreme Fear,963.025943,67,0.3283582089552239
@107,Extreme Greed,1187083.834424,2395,0.85678496868476
@107,Fear,395324.783386,9522,0.41461877756773785
@107,Greed,1272699.419517,11357,0.4841947697455314
@107,Neutral,30566.527867,1079,0.577386468952734
@109,Fear,5386.516521,17,0.7647058823529411
@109,Greed,27.567619,2,0.5
@11,Extreme Greed,0.0,1,0.0
@112,Fear,0.0,1,0.0
@112,Greed,-52.114723999999995,6,0.3333333333333333
@113,Fear,0.0,1,0.0
@113,Greed,16.92622,4,0.5
@114,Fear,0.0,1,0.0
@114,Greed,1.309077,1,1.0
@116,Fear,0.249717,3,0.3333333333333333
@116,Greed,1.473232,2,0.5
@117,Fear,0.0,1,0.0
@117,Greed,4.631689,3,0.3333333333333333
@12,Greed,0.0,2,0.0
@12,Neutral,0.0,1,0.0
@123,Greed,0.0,163,0.0
@124,Greed,-128.603876,8,0.0
@125,Fear,-82.451337,2,0.0
@125,Greed,452.715904,27,0.3333333333333333
@13,Fear,0.0,1,0.0
@13,Greed,-0.12379,2,0.0
@135,Fear,-5981.36399,1,0.0
@138,Fear,50.950684,4,1.0
@14,Extreme Greed,0.0,16,0.0
@14,Greed,0.0,1,0.0
@142,Fear,-832.3367280000003,163,0.05521472392638037
@142,Greed,1034.229436,149,0.4228187919463087
@147,Fear,-350.632694,5,0.0
@15,Neutral,0.0,2,0.0
@151,Fear,-48.868567999999996,11,0.0
@16,Fear,0.0,1,0.0
@16,Greed,-0.060429,2,0.0
@16,Neutral,0.0,1,0.0
@17,Neutral,0.0,1,0.0
@18,Neutral,0.0,1,0.0
@19,Neutral,0.0,2,0.0
@2,Greed,-0.907946,2,0.0
@2,Neutral,0.0,3,0.0
@20,Extreme Greed,0.0,4,0.0
@20,Greed,4.738087999999999,20,0.1
@20,Neutral,0.0,15,0.0
@21,Neutral,0.0,1,0.0
@23,Fear,0.0,34,0.0
@24,Greed,-0.002936,2,0.0
@24,Neutral,0.0,1,0.0
@25,Neutral,0.0,1,0.0
@26,Fear,0.0,1,0.0
@26,Greed,-0.25801799999999997,8,0.0
@26,Neutral,0.0,1,0.0
@28,Greed,0.0,1,0.0
@28,Neutral,0.0,1,0.0
@29,Fear,0.0,1,0.0
@29,Greed,-0.078374,4,0.0
@29,Neutral,0.0,1,0.0
@3,Extreme Greed,0.0,1,0.0
@3,Greed,0.462514,13,0.15384615384615385
@3,Neutral,0.0,9,0.0
@30,Neutral,0.0,1,0.0
@31,Greed,33.212273,2,0.5
@31,Neutral,0.0,1,0.0
@32,Neutral,0.0,1,0.0
